Product's ID,Full product's name,Producer's official name,Current price,Product type
P00000189,Body Lotion,Urban Decay,15.28,Mascara
P00000190,Foot Scrub,Kiehl's,16.81,Foundation
P00000191,Sunscreen,Lancome,17.97,Sunscreen
P00000192,Face Wash,L'Oreal,13.54,Eyeliner
P00000193,Beard Oil,Urban Decay,12.55,Moisturizer
P00000194,Makeup Remover,Revlon,11.24,Moisturizer
P00000195,Conditioner,Maybelline,18.83,Foundation
P00000196,Perfume,The Body Shop,16.37,Lipstick
P00000197,Hair Serum,Elizabeth Arden,12.87,Foundation
P00000198,Conditioner,Biore,12.87,Sunscreen
P00000199,Moisturizer,Cetaphil,14.25,Foundation
P00000200,Lip Balm,The Body Shop,18.36,Shampoo
P00000201,Toner,Elizabeth Arden,12.38,Foundation
P00000202,Deodorant,CoverGirl,12.77,Mascara
P00000203,Mascara,Elizabeth Arden,17.78,Lipstick
P00000204,Hair Dye,Cetaphil,10.49,Lipstick
P00000205,Hair Dye,Biore,19.08,Face Serum
P00000206,Body Scrub,Burt's Bees,11.31,Sunscreen
P00000207,Lipstick,Estée Lauder,10.07,Face Serum
P00000208,Under Eye Cream,Burt's Bees,18.87,Lipstick
P00000209,Makeup Remover,Dove,11.96,Sunscreen
P00000210,Perfume,Estée Lauder,16.75,Eyeliner
P00000211,Concealer,Maybelline,16.71,Lipstick
P00000212,Cuticle Oil,L'Oreal,18.41,Face Serum
P00000213,Moisturizer,Origins,14.62,Moisturizer
P00000214,Exfoliating Scrub,Estée Lauder,10.82,Lipstick
P00000215,Makeup Remover,MAC Cosmetics,15.36,Lipstick
P00000216,Lipstick,The Body Shop,15.0,Moisturizer
P00000217,Cuticle Oil,Neutrogena,19.09,Moisturizer
P00000218,Shaving Cream,Estée Lauder,13.6,Face Serum
P00000219,Shampoo,Cetaphil,13.92,Conditioner
P00000220,Cuticle Oil,Revlon,11.83,Face Serum
P00000221,Cuticle Oil,Pantene,11.76,Sunscreen
P00000222,Face Mask,Kiehl's,12.78,Moisturizer
P00000223,Concealer,MAC Cosmetics,13.47,Face Serum
P00000224,Toner,NYX,10.38,Conditioner
P00000225,Makeup Remover,Rimmel,14.45,Lipstick
P00000226,Hydrating Mist,Revlon,15.69,Eyeliner
P00000227,Mascara,Garnier,10.23,Mascara
P00000228,Under Eye Cream,Cetaphil,16.53,Eyeliner
P00000229,Face Wash,CoverGirl,13.92,Moisturizer
P00000230,Makeup Remover,MAC Cosmetics,10.86,Body Lotion
P00000231,Foot Scrub,Neutrogena,15.53,Body Lotion
P00000232,Hydrating Mist,Olay,11.55,Sunscreen
P00000233,Eye Shadow,Biore,14.36,Lipstick
P00000234,Moisturizer,Estée Lauder,16.7,Lipstick
P00000235,Mascara,St. Ives,10.04,Mascara
P00000236,Lipstick,Pantene,16.42,Body Lotion
P00000237,Shaving Cream,Lancome,11.88,Moisturizer
P00000238,Hair Mousse,CoverGirl,12.8,Moisturizer
P00000239,Sunscreen,Olay,16.29,Shampoo
P00000240,Body Scrub,CoverGirl,11.39,Body Lotion
P00000241,Moisturizer,MAC Cosmetics,17.72,Mascara
P00000242,Hair Spray,L'Oreal,18.78,Body Lotion
P00000243,Highlighter,Pantene,10.97,Sunscreen
P00000244,Highlighter,Avon,18.28,Conditioner
P00000245,Body Lotion,Olay,10.21,Shampoo
P00000246,Moisturizer,NYX,17.01,Sunscreen
P00000247,Blush,The Body Shop,18.15,Moisturizer
P00000248,Nail Polish,Biore,14.89,Face Serum
P00000249,Deodorant,Estée Lauder,10.2,Foundation
P00000250,Eye Shadow,Estée Lauder,16.44,Moisturizer
P00000251,Hair Spray,Olay,19.52,Foundation
P00000252,Lip Balm,CoverGirl,16.72,Face Serum
P00000253,Makeup Remover,Aveda,13.84,Conditioner
P00000254,Moisturizer,Burt's Bees,16.62,Lipstick
P00000255,Hydrating Mist,Sephora,17.04,Eyeliner
P00000256,Hair Spray,The Body Shop,11.15,Shampoo
P00000257,Setting Spray,Elizabeth Arden,14.64,Mascara
P00000258,Deodorant,Dove,19.09,Lipstick
P00000259,Shampoo,Chanel,13.42,Eyeliner
P00000260,Bronzer,Avon,14.2,Conditioner
P00000261,Setting Spray,CoverGirl,16.79,Foundation
P00000262,Concealer,Urban Decay,16.15,Face Serum
P00000263,Hair Dye,Estée Lauder,14.98,Body Lotion
P00000264,Perfume,Rimmel,12.43,Moisturizer
P00000265,Shampoo,Pantene,15.46,Moisturizer
P00000266,Perfume,Tresemmé,13.4,Conditioner
P00000267,Bronzer,MAC Cosmetics,19.18,Eyeliner
P00000268,Highlighter,MAC Cosmetics,11.31,Eyeliner
P00000269,Eye Shadow,Biore,10.39,Foundation
P00000270,Shaving Cream,Origins,19.67,Moisturizer
P00000271,Hair Spray,Chanel,11.4,Conditioner
P00000272,Sunscreen,Tresemmé,18.19,Lipstick
P00000273,Face Wash,Elizabeth Arden,16.32,Sunscreen
P00000274,Body Scrub,Elizabeth Arden,12.82,Foundation
P00000275,Under Eye Cream,Avon,16.28,Foundation
P00000276,Massage Oil,Avon,15.14,Eyeliner
P00000277,Perfume,The Body Shop,17.41,Mascara
P00000278,Conditioner,Garnier,16.0,Lipstick
P00000279,Eyeliner,MAC Cosmetics,10.45,Sunscreen
P00000280,Nail Polish,Neutrogena,10.42,Sunscreen
P00000281,Body Scrub,Sephora,13.27,Eyeliner
P00000282,Clay Mask,Nivea,18.75,Moisturizer
P00000283,Hair Gel,Avon,14.23,Eyeliner
P00000284,Makeup Remover,Biore,18.75,Conditioner
P00000285,Foundation,Elizabeth Arden,17.41,Conditioner
P00000286,Anti-Aging Cream,St. Ives,14.01,Conditioner
P00000287,Face Mask,NYX,11.13,Face Serum
P00000288,Body Scrub,Avon,11.59,Moisturizer
P00000289,Foot Scrub,Aveda,10.49,Body Lotion
P00000290,Foundation,Origins,18.21,Face Serum
P00000291,Mascara,Tresemmé,10.72,Foundation
P00000292,Under Eye Cream,Maybelline,14.95,Mascara
P00000293,Hair Mask,Aveda,15.11,Moisturizer
P00000294,Toner,Olay,16.57,Shampoo
P00000295,Hair Spray,Neutrogena,11.69,Body Lotion
P00000296,Body Lotion,L'Oreal,10.19,Face Serum
P00000297,Highlighter,Tresemmé,12.85,Mascara
P00000298,Anti-Aging Cream,Urban Decay,14.82,Eyeliner
P00000299,Eyeliner,Elizabeth Arden,18.26,Body Lotion
P00000300,Massage Oil,Biore,19.53,Conditioner
P00000301,Nail Polish,Burt's Bees,15.05,Conditioner
P00000302,Shaving Cream,The Body Shop,13.41,Body Lotion
P00000303,Foundation,Nivea,18.87,Shampoo
P00000304,Face Wash,Revlon,18.76,Face Serum
P00000305,Foot Scrub,Revlon,16.55,Foundation
P00000306,Clay Mask,St. Ives,10.81,Shampoo
P00000307,Hair Mask,The Body Shop,15.13,Lipstick
P00000308,Body Scrub,Neutrogena,18.91,Face Serum
P00000309,Perfume,Avon,10.04,Mascara
P00000310,Clay Mask,Urban Decay,17.0,Shampoo
P00000311,Clay Mask,Dove,14.9,Body Lotion
P00000312,Blush,Sephora,17.1,Lipstick
P00000313,Body Scrub,Estée Lauder,18.86,Shampoo
P00000314,Sunscreen,Neutrogena,16.03,Mascara
P00000315,Beard Oil,Chanel,16.59,Face Serum
P00000316,Hair Serum,Sephora,14.13,Mascara
P00000317,Sunscreen,Estée Lauder,15.74,Body Lotion
P00000318,Hair Mask,Origins,11.64,Conditioner
P00000319,Lip Balm,Chanel,13.29,Lipstick
P00000320,Makeup Remover,Pantene,14.37,Moisturizer
P00000321,Eyeliner,Kiehl's,12.24,Eyeliner
P00000322,Concealer,Tresemmé,12.69,Mascara
P00000323,Conditioner,Rimmel,15.69,Body Lotion
P00000324,Hair Serum,St. Ives,13.54,Shampoo
P00000325,Nail Polish,Origins,13.03,Foundation
P00000326,Mascara,MAC Cosmetics,13.76,Moisturizer
P00000327,Deodorant,St. Ives,10.96,Body Lotion
P00000328,Exfoliating Scrub,Revlon,11.35,Mascara
P00000329,Highlighter,L'Oreal,11.67,Body Lotion
P00000330,Hair Spray,Nivea,12.33,Foundation
P00000331,Clay Mask,NYX,17.68,Moisturizer
P00000332,Body Lotion,Lancome,11.79,Mascara
P00000333,Deodorant,Olay,17.49,Body Lotion
P00000334,Hair Mousse,St. Ives,17.17,Lipstick
P00000335,Hair Spray,Clinique,14.46,Mascara
P00000336,Clay Mask,MAC Cosmetics,13.02,Conditioner
P00000337,Foot Scrub,NYX,10.65,Lipstick
P00000338,Perfume,Elizabeth Arden,10.43,Face Serum
P00000339,Exfoliating Scrub,St. Ives,15.63,Eyeliner
P00000340,Highlighter,The Body Shop,17.13,Mascara
P00000341,Mascara,CoverGirl,12.43,Lipstick
P00000342,Perfume,Tresemmé,19.19,Eyeliner
P00000343,Concealer,Nivea,10.16,Body Lotion
P00000344,Body Lotion,Lancome,17.68,Eyeliner
P00000345,Exfoliating Scrub,Origins,19.65,Mascara
P00000346,Foot Scrub,Tresemmé,19.76,Sunscreen
P00000347,Moisturizer,Revlon,19.51,Lipstick
P00000348,Perfume,Chanel,10.43,Sunscreen
P00000349,Bronzer,Clinique,13.13,Eyeliner
P00000350,Sunscreen,Estée Lauder,14.51,Conditioner
P00000351,Perfume,Biore,17.32,Face Serum
P00000352,Hair Mousse,Garnier,19.78,Shampoo
P00000353,Blush,Revlon,19.52,Shampoo
P00000354,Hair Dye,MAC Cosmetics,16.63,Foundation
P00000355,Shaving Cream,Avon,14.67,Shampoo
P00000356,Hair Gel,Burt's Bees,11.5,Foundation
P00000357,Bronzer,Pantene,16.38,Mascara
P00000358,Deodorant,L'Oreal,19.14,Moisturizer
P00000359,Anti-Aging Cream,Lancome,15.73,Foundation
P00000360,Blush,Biore,13.84,Sunscreen
P00000361,Concealer,Revlon,19.88,Lipstick
P00000362,Body Lotion,Maybelline,18.33,Body Lotion
P00000363,Eye Shadow,NYX,13.26,Face Serum
P00000364,Hair Dye,Estée Lauder,18.36,Foundation
P00000365,Sunscreen,Rimmel,14.95,Shampoo
P00000366,Perfume,Avon,13.99,Mascara
P00000367,Eye Shadow,Revlon,10.59,Mascara
P00000368,Conditioner,Elizabeth Arden,10.03,Moisturizer
P00000369,Hair Dye,Clinique,14.58,Mascara
P00000370,Mascara,CoverGirl,19.35,Moisturizer
P00000371,Under Eye Cream,Clinique,15.77,Moisturizer
P00000372,Hair Mask,Pantene,17.6,Foundation
P00000373,Perfume,Neutrogena,10.79,Shampoo
P00000374,Blush,Tresemmé,15.48,Lipstick
P00000375,Conditioner,CoverGirl,18.53,Face Serum
P00000376,Face Wash,Olay,13.42,Lipstick
P00000377,Body Scrub,St. Ives,16.43,Face Serum
P00000378,Eyeliner,Cetaphil,12.07,Shampoo
P00000379,Beard Oil,Biore,13.93,Body Lotion
P00000380,Shaving Cream,Urban Decay,12.86,Lipstick
P00000381,Nail Polish,CoverGirl,11.04,Shampoo
P00000382,Face Wash,Tresemmé,17.14,Shampoo
P00000383,Hydrating Mist,Kiehl's,10.46,Mascara
P00000384,Under Eye Cream,Kiehl's,18.51,Face Serum
P00000385,Eyeliner,St. Ives,18.54,Eyeliner
P00000386,Hydrating Mist,CoverGirl,19.15,Conditioner
P00000387,Nail Polish,CoverGirl,10.46,Shampoo
P00000388,Beard Oil,Revlon,18.15,Mascara
P00000389,Bronzer,Nivea,12.4,Sunscreen
P00000390,Anti-Aging Cream,Garnier,11.11,Eyeliner
P00000391,Perfume,Elizabeth Arden,17.65,Sunscreen
P00000392,Moisturizer,Revlon,13.31,Foundation
P00000393,Sunscreen,Olay,18.14,Mascara
P00000394,Hydrating Mist,Maybelline,10.13,Face Serum
P00000395,Hair Spray,Neutrogena,14.0,Foundation
P00000396,Hair Mask,Kiehl's,17.91,Sunscreen
P00000397,Body Lotion,Urban Decay,16.11,Foundation
P00000398,Mascara,Olay,18.76,Sunscreen
P00000399,Foot Scrub,Tresemmé,19.1,Eyeliner
P00000400,Beard Oil,Kiehl's,15.58,Moisturizer
P00000401,Moisturizer,Aveda,18.18,Eyeliner
P00000402,Hair Gel,Sephora,19.7,Sunscreen
P00000403,Mascara,Revlon,10.53,Lipstick
P00000404,Lip Balm,Cetaphil,12.74,Moisturizer
P00000405,Nail Polish,Olay,12.0,Mascara
P00000406,Face Mask,Olay,11.66,Moisturizer
P00000407,Face Mask,Revlon,17.91,Face Serum
P00000408,Concealer,Garnier,18.94,Eyeliner
P00000409,Clay Mask,Revlon,17.77,Eyeliner
P00000410,Hydrating Mist,Rimmel,15.99,Sunscreen
P00000411,Bronzer,Nivea,17.69,Shampoo
P00000412,Beard Oil,NYX,10.42,Shampoo
P00000413,Eyeliner,Garnier,12.26,Foundation
P00000414,Cuticle Oil,Aveda,14.3,Conditioner
P00000415,Lipstick,Biore,15.07,Lipstick
P00000416,Blush,Burt's Bees,19.09,Foundation
P00000417,Body Scrub,Maybelline,19.51,Sunscreen
P00000418,Bronzer,Clinique,16.65,Moisturizer
P00000419,Exfoliating Scrub,Avon,17.23,Eyeliner
P00000420,Hydrating Mist,Garnier,13.89,Lipstick
P00000421,Bronzer,Rimmel,14.42,Shampoo
P00000422,Hair Gel,Clinique,16.24,Sunscreen
P00000423,Setting Spray,Estée Lauder,19.64,Body Lotion
P00000424,Exfoliating Scrub,MAC Cosmetics,11.45,Shampoo
P00000425,Anti-Aging Cream,Sephora,19.23,Shampoo
P00000426,Hair Serum,Clinique,12.24,Foundation
P00000427,Hydrating Mist,Tresemmé,12.21,Mascara
P00000428,Lipstick,Avon,14.36,Shampoo
P00000429,Sunscreen,Clinique,15.42,Foundation
P00000430,Face Mask,CoverGirl,13.23,Moisturizer
P00000431,Hair Spray,Sephora,14.77,Sunscreen
P00000432,Body Lotion,Avon,18.44,Lipstick
P00000433,Lipstick,Estée Lauder,18.41,Body Lotion
P00000434,Moisturizer,Biore,10.05,Eyeliner
P00000435,Hair Mousse,Olay,18.68,Foundation
P00000436,Body Lotion,Chanel,14.71,Foundation
P00000437,Eyeliner,Aveda,17.19,Body Lotion
P00000438,Eye Shadow,Neutrogena,14.37,Moisturizer
P00000439,Hair Serum,Clinique,14.44,Foundation
P00000440,Lip Balm,Olay,17.45,Conditioner
P00000441,Anti-Aging Cream,Biore,14.71,Eyeliner
P00000442,Blush,Nivea,14.08,Eyeliner
P00000443,Face Wash,Urban Decay,14.1,Face Serum
P00000444,Makeup Remover,Estée Lauder,19.6,Moisturizer
P00000445,Hair Spray,Pantene,15.76,Sunscreen
P00000446,Beard Oil,Elizabeth Arden,14.87,Face Serum
P00000447,Setting Spray,St. Ives,10.03,Lipstick
P00000448,Clay Mask,Rimmel,18.25,Body Lotion
P00000449,Toner,Pantene,10.83,Shampoo
P00000450,Face Mask,NYX,15.05,Eyeliner
P00000451,Exfoliating Scrub,Burt's Bees,11.18,Moisturizer
P00000452,Bronzer,CoverGirl,12.61,Shampoo
P00000453,Hair Serum,Biore,17.66,Mascara
P00000454,Hair Gel,The Body Shop,18.72,Moisturizer
P00000455,Lipstick,Origins,18.82,Mascara
P00000456,Foot Scrub,CoverGirl,15.55,Body Lotion
P00000457,Blush,Nivea,18.22,Eyeliner
P00000458,Conditioner,Chanel,13.31,Conditioner
P00000459,Deodorant,Neutrogena,18.81,Moisturizer
P00000460,Toner,St. Ives,19.19,Eyeliner
P00000461,Bronzer,Kiehl's,19.77,Sunscreen
P00000462,Under Eye Cream,CoverGirl,11.21,Eyeliner
P00000463,Massage Oil,Estée Lauder,11.75,Shampoo
P00000464,Sunscreen,Kiehl's,17.72,Face Serum
P00000465,Under Eye Cream,Avon,16.25,Body Lotion
P00000466,Cuticle Oil,Avon,18.88,Moisturizer
P00000467,Face Wash,Tresemmé,19.61,Foundation
P00000468,Shaving Cream,Estée Lauder,17.61,Foundation
P00000469,Deodorant,Dove,16.82,Shampoo
P00000470,Makeup Remover,Origins,11.15,Foundation
P00000471,Hair Spray,NYX,15.28,Body Lotion
P00000472,Highlighter,Kiehl's,14.72,Body Lotion
P00000473,Hair Gel,CoverGirl,15.67,Body Lotion
P00000474,Deodorant,Revlon,16.61,Conditioner
P00000475,Cuticle Oil,NYX,11.97,Foundation
P00000476,Bronzer,NYX,18.34,Moisturizer
P00000477,Eye Shadow,MAC Cosmetics,18.19,Conditioner
P00000478,Nail Polish,Dove,18.85,Foundation
P00000479,Shampoo,Dove,15.42,Sunscreen
P00000480,Face Wash,Sephora,15.54,Lipstick
P00000481,Massage Oil,Rimmel,12.56,Body Lotion
P00000482,Massage Oil,Avon,18.94,Shampoo
P00000483,Face Wash,Avon,10.7,Moisturizer
P00000484,Body Lotion,Cetaphil,13.23,Sunscreen
P00000485,Makeup Remover,Urban Decay,11.76,Conditioner
P00000486,Makeup Remover,Revlon,16.53,Eyeliner
P00000487,Lip Balm,Rimmel,17.31,Face Serum
P00000488,Blush,Rimmel,10.68,Eyeliner
P00000489,Hair Gel,St. Ives,19.44,Sunscreen
P00000490,Highlighter,Urban Decay,13.72,Face Serum
P00000491,Moisturizer,Neutrogena,16.55,Mascara
P00000492,Mascara,L'Oreal,19.68,Body Lotion
